title,url,description,stars,language,last_updated
neilgebhard/ai-therapist,https://github.com/neilgebhard/ai-therapist,A personal AI therapist to help you with your mental health,25,TypeScript,2025-11-29T05:19:55.863Z
HemantKumar01/SoulScript,https://github.com/HemantKumar01/SoulScript,Personal AI Mental Health Therapist,6,TypeScript,2025-09-30T07:55:25.964Z
Mercytopsy/AI-Health-Supervisor-Agent,https://github.com/Mercytopsy/AI-Health-Supervisor-Agent,"A multi-agent AI system designed to provide personalized health guidance across fitness, diet, and mental wellness",18,Jupyter Notebook,2025-04-28T05:06:46.053Z
AryanNayak/Muse,https://github.com/AryanNayak/Muse,An AI Mental Health Chatbot,11,Jupyter Notebook,2020-11-18T15:28:44.757Z
23W-GBAC/RHYAN2,https://github.com/23W-GBAC/RHYAN2,"Mental health ,cancer and AI",5,Python,2024-03-12T11:07:10.888Z
yogyagit/IvyHacks2024_MentalHealth,https://github.com/yogyagit/IvyHacks2024_MentalHealth,ThinkWell AI: A real-time mental health support app leveraging AI-driven CBT techniques for personalized therapy sessions.,9,Python,2024-04-27T22:36:24.893Z
Rahul-Sahani04/Mental-Health-AI-Assistant,https://github.com/Rahul-Sahani04/Mental-Health-AI-Assistant,Mental Support Chatbot App: A Streamlit application implementing a Mental Support Chatbot powered by Google Generative AI. Engage in conv…,6,Python,2024-02-07T14:47:31.656Z
alvii147/HachikosJournal,https://github.com/alvii147/HachikosJournal,AI-based application for mental health journal writing with virtual assistant,9,Python,2024-08-06T13:42:13.895Z
revolutionarybukhari/ai-calling-agent,https://github.com/revolutionarybukhari/ai-calling-agent,"I have used technologies like Twilio , openai , pinecone , Mongodb, to make an automated calling agent for both inbound and outbound call…",44,Python,2026-02-06T00:42:38.157Z
arunprasad-04/-Emotion-AI-Mental-Health-Chatbot,https://github.com/arunprasad-04/-Emotion-AI-Mental-Health-Chatbot,None,26,Python,2025-08-01T16:26:10.708Z
BinaryStudioAcademy/bsa-2023-calmpal,https://github.com/BinaryStudioAcademy/bsa-2023-calmpal,AI-powered mental health application,3,TypeScript,2023-10-16T11:36:42.493Z
Sakaar-Sen/MentalHealthBot,https://github.com/Sakaar-Sen/MentalHealthBot,An AI-powered mental health chatbot created using the LangChain framework.,12,Python,2023-10-19T18:33:02.364Z
galihru/facemind,https://github.com/galihru/facemind,application uses computer vision and machine learning to analyze mental health based on facial expressions. The app includes login system…,35,TeX,2026-04-19T16:53:48.481Z
starlightknown/AIry_pages,https://github.com/starlightknown/AIry_pages,hackOn 2.0 Hack for mental health and awareness and voice hack category,8,CSS,2022-03-14T17:34:43.752Z
siddythings/system-prompts-and-models-of-ai-tools,https://github.com/siddythings/system-prompts-and-models-of-ai-tools,"A comprehensive collection of AI system prompts, tools, and implementations across various domains including healthcare, voice AI, mental h…",49,,2025-05-15T16:56:50.920Z
mithatco/mental_health_multiagent,https://github.com/mithatco/mental_health_multiagent,💡 Resources for the CIKM 2025 paper: Trustworthy AI Psychotherapy: Multi-Agent LLM Workflow for Counseling and Explainable Mental Disorde…,11,Python,2025-08-22T13:15:53.569Z
Saurabhtbj1201/MindSpace-Digital-Mental-Health-Support-Platform,https://github.com/Saurabhtbj1201/MindSpace-Digital-Mental-Health-Support-Platform,"The platform combines cutting-edge technology including AI, IoT, and data analytics to provide personalized mental health support, resour…",4,JavaScript,2026-04-17T18:11:30.575Z
SohaibAamir28/Personalized_Mental_Healthcare-Chatbot,https://github.com/SohaibAamir28/Personalized_Mental_Healthcare-Chatbot,"The app is an AI-powered chatbot that offers personalized mental healthcare support to users, providing evidence-based advice and helping…",8,Python,2025-12-21T02:48:30.557Z
behtar-foundation/Sukoon,https://github.com/behtar-foundation/Sukoon,We want to build open-source solutions and standards for using AI to solve mental health challenges. The goal is to apply DPI knowledge a…,27,Jupyter Notebook,2025-06-13T09:35:46.416Z
rrishi0309/Mental-Health-AI-Companion,https://github.com/rrishi0309/Mental-Health-AI-Companion,"An AI-powered Mental Health Companion leveraging Retool and GPT-4o to deliver empathetic, anonymous, and supportive conversations for str…",5,,2025-03-13T10:24:43.860Z
aiproduct-creators/mental-health-ai,https://github.com/aiproduct-creators/mental-health-ai,None,2,Python,2024-01-25T12:16:44.262Z
Sukoon-A-Mental-Wellness-Platform/website,https://github.com/Sukoon-A-Mental-Wellness-Platform/website,"AI-powered mental health platform with dream analysis, virtual therapy, and student wellness tools.",14,JavaScript,2025-05-05T06:40:47.007Z
TAHIR0110/ThereForYou,https://github.com/TAHIR0110/ThereForYou,"ThereForYou: Your mental health ally. Kai, our AI assistant, offers compassionate support. Track your mood trends, find solace in a secur…",90,Python,2025-02-03T15:25:50.538Z
shreyasharma04/HealthChatbot,https://github.com/shreyasharma04/HealthChatbot,"... used are diagnostics, patient engagement outside medical facilities, and mental health. In our major we are working on diagnostic. 📃 …",126,Python,2022-02-21T08:29:12.563Z
Anil951/Early-detection-of-mental-health,https://github.com/Anil951/Early-detection-of-mental-health,"This project develops a predictive model to identify early signs of mental health issues in adolescents using social media activity, scho…",7,Jupyter Notebook,2024-11-13T12:21:13.485Z
zenn-ai/zen,https://github.com/zenn-ai/zen,Zen - AI Mental Health Counselor,7,Python,2023-12-22T01:07:10.522Z
demoslayer/Mental-health-Chatbot-MERN-STACK,https://github.com/demoslayer/Mental-health-Chatbot-MERN-STACK,The Mental Health Chatbot is a MERN stack web app that provides users with mental health support through an AI-powered chatbot. Users can…,13,JavaScript,2024-10-06T10:11:32.992Z
Bhargav1144/Mental_Health_Chatbot,https://github.com/Bhargav1144/Mental_Health_Chatbot,"A Streamlit-based AI chatbot offering compassionate mental health support using models like Mistral, LLaMA, DeepSeek, and Cohere. It prov…",5,Python,2025-03-04T18:23:47.758Z
djpapzin/MentalWellnessChatbot,https://github.com/djpapzin/MentalWellnessChatbot,"AI chatbot for mental health advice using Streamlit, LangChain, and Llama 2 by Meta. Retrieves info from PDFs and offers real-time responses",4,Python,2023-10-13T11:26:38.450Z
h8-hackathon/livy,https://github.com/h8-hackathon/livy,Online Counseling App for Mental Health,8,JavaScript,2023-03-10T00:23:36.010Z
Elliot-D-Hill/abcd,https://github.com/Elliot-D-Hill/abcd,Leveraging the largest US study of adolescent neurodevelopment to train AI models for longitudinal mental health prediction,12,Python,2025-11-26T18:12:49.787Z
annu12340/Haven,https://github.com/annu12340/Haven," Winner of the international MongoDB AI Hackathon, Haven is an AI-powered solution empowering women in abusive situations with discreet h…",28,TypeScript,2024-12-29T06:21:43.874Z
Aditya-Ohri/Self.ai,https://github.com/Aditya-Ohri/Self.ai,An AI-powered mental health platform built at Hack the Hammer 2,5,HTML,2019-12-15T17:07:39.445Z
darshitk19/AI-Powered_Mental_Health_Prediction_System,https://github.com/darshitk19/AI-Powered_Mental_Health_Prediction_System,"A deep learning project that predicts emotions from multiple data types — text, audio, and images. It uses CNNs for visual cues, RNNs for…",7,Jupyter Notebook,2025-07-27T14:39:20.896Z
amrita-thakur/mental-healthcare-chatbot,https://github.com/amrita-thakur/mental-healthcare-chatbot,This repository contains a mental healthcare chatbot application,5,Python,2025-01-22T08:27:33.655Z
miriandres/Happy2Help-chatbot,https://github.com/miriandres/Happy2Help-chatbot,🧠 Happy2Help is your mental health chatbot,6,Python,2022-10-07T18:04:46.617Z
deepakuy/mindbridge-ai-hackathon,https://github.com/deepakuy/mindbridge-ai-hackathon,AI-powered mental health early intervention system,0,Python,2025-09-11T12:26:03.049Z
Adedolapo-Oguntayo/Basic-Needs-Basic-Rights-Kenya-Tech4Mental-Health,https://github.com/Adedolapo-Oguntayo/Basic-Needs-Basic-Rights-Kenya-Tech4Mental-Health,Around 1 in 4 people will experience a mental health problem this year. Low-income countries have an estimated treatment gap of 85% (as c…,10,Jupyter Notebook,2020-06-13T00:31:35.192Z
